attribute,importance
delta_electrons_1,0.0358029454947
part_00_density_E3_E1,0.030790053308
delta_density_sqrt_E1_1,0.0288900882006
shape_segments_count_over_volume_00,0.0287701617926
part_00_density_E3_E2,0.0276839789003
local_near_cut_count_N,0.0247115362436
delta_density_sqrt_E3_1,0.0245110895485
delta_density_sqrt_E2_1,0.0233323909342
part_00_shape_sqrt_E3,0.022468926385
delta_std_1,0.0223027430475
part_00_density_O3_norm,0.0217853505164
local_mean,0.0211805831641
part_00_density_sqrt_E2,0.0206066519022
delta_electrons_2,0.0200892593712
local_near_cut_count_O,0.0197877325118
part_00_density_Z_6_0,0.0188917163759
std_over_resolution_00,0.0187255330384
part_00_shape_O5_norm,0.0186056066304
delta_volume_1,0.018281808123
delta_skewness_2,0.0182646755129
part_00_mean,0.0179665759206
resolution,0.0179134644568
part_00_shape_Z_1_0,0.0172932781279
delta_skewness_1,0.0172761455178
part_00_density_sqrt_E3,0.0170465745032
delta_std_2,0.0170054566115
part_00_density_Z_7_0,0.0169197954237
part_00_shape_Z_4_0,0.0161813963205
part_00_density_E2_E1,0.0157976336777
part_00_density_I5_norm,0.0156811345369
part_00_shape_E2_E1,0.0155269447714
part_00_density_sqrt_E1,0.0149769997224
part_00_density_CI,0.0147662730888
part_00_shape_Z_3_1,0.0147594204172
part_00_density_Z_5_0,0.0147234424949
skewness_over_volume_00,0.0147131634876
part_00_density_I2_norm,0.0145504074171
part_00_shape_CI,0.0145435547456
part_00_density_I4_norm,0.0144887315109
part_00_density_Z_3_0,0.0144578935578
part_00_shape_sqrt_E1,0.0139953233302
electrons_over_resolution_00,0.0137811703607
delta_shape_segments_count_2,0.013626979664
part_00_density_O4_norm,0.0136184133589
delta_mean_2,0.0135258994997
delta_mean_1,0.0132312253118
part_00_shape_FL,0.0129416901618
part_00_density_I6,0.0126093253493
local_near_cut_count_C,0.012595619075
volume_over_resolution_00,0.0119874253869
std_over_volume_01,0.0119394548237
delta_volume_2,0.0114049287513
part_00_shape_Z_4_2,0.0109851891175
part_00_shape_Z_2_0,0.00999665912241
part_00_electrons,0.0086363600567
part_00_shape_Z_2_1,0.00797505583614
local_electrons,0.00786540936679
part_00_volume,0.00779174035415
percent_cut,0.00610250234604
local_cut_by_mainchain_volume,0.00331851397641
