attribute,importance
part_00_density_O3_norm,0.0634547762539
part_00_density_E3_E1,0.0605491596787
delta_electrons_2,0.0438544245353
delta_electrons_1,0.0291819712026
shape_segments_count_over_volume_00,0.0282144652054
part_00_shape_sqrt_E1,0.027668634191
delta_skewness_1,0.0259168401741
part_00_density_O4_norm,0.0246595631993
part_00_density_sqrt_E3,0.023450305662
local_near_cut_count_N,0.022695506267
local_electrons,0.0226151648377
part_00_density_sqrt_E2,0.0225596428796
part_00_density_sqrt_E1,0.02245561771
volume_over_resolution_00,0.022047489444
delta_skewness_2,0.0206902815436
part_00_electrons,0.0202999263484
part_00_density_Z_6_0,0.0199028082315
part_00_shape_sqrt_E3,0.019762037981
local_near_cut_count_O,0.0195043292862
delta_density_sqrt_E1_1,0.018832164359
part_00_density_E3_E2,0.018190240553
delta_std_1,0.0176017354298
part_00_density_E2_E1,0.0165792760151
part_00_density_I4_norm,0.0159836789069
part_00_shape_E2_E1,0.015553394053
delta_std_2,0.0154083081914
part_00_density_Z_5_0,0.0140828048742
part_00_density_Z_7_0,0.0138767096121
delta_density_sqrt_E2_1,0.0135750165765
delta_volume_1,0.0135323679047
delta_density_sqrt_E3_1,0.0131036681841
part_00_shape_Z_4_0,0.0130642444758
part_00_shape_O5_norm,0.0128913272252
part_00_density_Z_3_0,0.0124145435603
part_00_density_I5_norm,0.0120619621566
part_00_shape_Z_3_1,0.0117552238114
part_00_shape_Z_1_0,0.0117412810154
electrons_over_resolution_00,0.0116553169456
part_00_density_CI,0.0114701195727
part_00_shape_CI,0.0113965515498
local_mean,0.0110331634103
part_00_shape_Z_4_2,0.0105128162847
part_00_density_I2_norm,0.0100886828226
delta_shape_segments_count_2,0.00964676378326
delta_volume_2,0.00937446460541
std_over_resolution_00,0.00927847038797
part_00_shape_Z_2_1,0.00893590448791
skewness_over_volume_00,0.00879600115675
part_00_shape_Z_2_0,0.00874460906826
delta_mean_2,0.00856163434426
delta_mean_1,0.00843172497587
part_00_mean,0.00823188244501
part_00_density_I6,0.00822680673027
resolution,0.00808393954128
part_00_volume,0.00790215614732
local_near_cut_count_C,0.00784548143466
std_over_volume_01,0.0077331903986
part_00_shape_FL,0.00569545761668
percent_cut,0.00446502287315
local_cut_by_mainchain_volume,0.00415894788199
