attribute,importance
part_00_density_E3_E1,0.0345488712192
local_near_cut_count_N,0.0301118381321
delta_density_sqrt_E1_1,0.0263640563935
delta_electrons_1,0.0255013145506
delta_volume_1,0.0243036132306
part_00_density_E3_E2,0.0233546495438
delta_density_sqrt_E2_1,0.0231518987566
local_near_cut_count_C,0.0229742284864
delta_electrons_2,0.0226758476347
shape_segments_count_over_volume_00,0.0225337129086
part_00_density_sqrt_E2,0.0218951478601
local_near_cut_count_O,0.0218664072454
resolution,0.0218188539147
delta_density_sqrt_E3_1,0.0208855681121
local_mean,0.0208077058196
delta_std_1,0.019560361281
part_00_shape_O5_norm,0.0188413225114
part_00_density_Z_6_0,0.0182487443089
part_00_density_sqrt_E3,0.017958201468
part_00_shape_Z_4_0,0.017168616876
std_over_resolution_00,0.0169914700091
part_00_shape_Z_1_0,0.0168744176626
part_00_density_Z_7_0,0.0168467219919
part_00_density_E2_E1,0.0166596472263
part_00_density_O3_norm,0.0165718570352
part_00_shape_sqrt_E3,0.0162922888994
part_00_shape_Z_3_1,0.0161036457866
delta_std_2,0.0157932471484
part_00_density_sqrt_E1,0.0153830396011
delta_skewness_2,0.0153250358999
part_00_shape_E2_E1,0.0152403814718
volume_over_resolution_00,0.0150924976915
delta_skewness_1,0.0148876551539
part_00_density_I6,0.014790982008
electrons_over_resolution_00,0.014719392173
delta_volume_2,0.0145971132442
part_00_density_I5_norm,0.0145845720544
part_00_shape_CI,0.0142684252933
part_00_density_Z_3_0,0.0141498045996
part_00_density_I4_norm,0.0141445789486
part_00_mean,0.0140097588301
part_00_density_CI,0.0138984546065
part_00_shape_FL,0.0138482889161
part_00_density_Z_5_0,0.0137949883938
delta_shape_segments_count_2,0.0131491078064
percent_cut,0.0130628859624
skewness_over_volume_00,0.0127969039604
part_00_shape_sqrt_E1,0.0121128764004
part_00_density_O4_norm,0.011960289441
part_00_shape_Z_4_2,0.0118385339156
part_00_shape_Z_2_0,0.011713120155
part_00_density_I2_norm,0.0116984890774
delta_mean_2,0.0116613870487
delta_mean_1,0.0111539838836
part_00_volume,0.0109130851924
part_00_electrons,0.0106376977637
local_electrons,0.0105755133554
std_over_volume_01,0.0104997428134
part_00_shape_Z_2_1,0.00932503398508
local_cut_by_mainchain_volume,0.00746211735532
