attribute,importance
part_00_density_E3_E1,0.0519729655428
delta_electrons_1,0.0289255117584
delta_electrons_2,0.0284750885812
local_near_cut_count_N,0.0273520748035
shape_segments_count_over_volume_00,0.0271736267559
delta_volume_1,0.0244020181672
part_00_density_sqrt_E2,0.02250127683
part_00_density_O3_norm,0.022303969524
part_00_density_sqrt_E1,0.022165565979
part_00_shape_sqrt_E1,0.0216357526422
local_near_cut_count_C,0.0213853275666
part_00_density_sqrt_E3,0.0207249124938
volume_over_resolution_00,0.0193031403911
part_00_density_E3_E2,0.0190456350408
part_00_shape_sqrt_E3,0.0190249355884
delta_density_sqrt_E1_1,0.0189645738618
part_00_density_Z_6_0,0.0186281443982
part_00_density_E2_E1,0.0180396802697
delta_volume_2,0.0174271498509
part_00_shape_E2_E1,0.017231662751
local_near_cut_count_O,0.0169791498923
delta_skewness_1,0.0169491146385
delta_std_1,0.0164159111019
part_00_density_Z_7_0,0.0159326704604
delta_density_sqrt_E2_1,0.0158380645566
delta_density_sqrt_E3_1,0.0157878690627
part_00_shape_Z_4_0,0.0155200016256
part_00_density_Z_5_0,0.0153558189576
delta_skewness_2,0.0150743186423
local_mean,0.0150511086555
percent_cut,0.0149733368303
delta_std_2,0.0149456053512
part_00_density_O4_norm,0.01488472295
part_00_shape_O5_norm,0.014832353966
part_00_density_CI,0.0147078341511
part_00_electrons,0.0146448204243
part_00_shape_CI,0.0145681681569
part_00_shape_Z_1_0,0.0145045115054
part_00_density_I4_norm,0.0144862973995
part_00_density_Z_3_0,0.0142208404903
part_00_shape_Z_3_1,0.0141257547211
local_electrons,0.0139555712684
part_00_volume,0.0138014496424
part_00_density_I5_norm,0.0128313408448
part_00_shape_Z_4_2,0.0128229285582
part_00_shape_Z_2_0,0.0126572932891
electrons_over_resolution_00,0.0122171819801
local_cut_by_mainchain_volume,0.011972498178
std_over_resolution_00,0.0117729645391
delta_shape_segments_count_2,0.0117119717728
part_00_density_I2_norm,0.0112947389387
part_00_shape_Z_2_1,0.0112037590115
resolution,0.0110091893911
skewness_over_volume_00,0.010968242412
part_00_mean,0.0101894539819
part_00_density_I6,0.0100227354611
delta_mean_2,0.00988100486902
delta_mean_1,0.00984821475265
std_over_volume_01,0.00942406452911
part_00_shape_FL,0.0059341102437
