attribute,importance
delta_electrons_1,0.0308950953186
resolution,0.0288950242102
delta_density_sqrt_E1_1,0.0255728252232
local_near_cut_count_C,0.0245842691511
local_mean,0.0243060681969
delta_density_sqrt_E3_1,0.0240940432996
delta_density_sqrt_E2_1,0.023123042658
shape_segments_count_over_volume_00,0.0228185076267
part_00_density_E3_E2,0.0227300506085
delta_std_1,0.0217131339014
local_near_cut_count_O,0.0214882772416
part_00_density_E3_E1,0.0211114920676
part_00_density_sqrt_E2,0.0207022931427
local_near_cut_count_N,0.0206563770771
std_over_resolution_00,0.0205247048289
part_00_mean,0.0199757311493
part_00_density_Z_6_0,0.0193774662912
delta_electrons_2,0.0188474003226
part_00_shape_O5_norm,0.0188460499048
part_00_shape_Z_1_0,0.018660357222
delta_skewness_1,0.018360549584
delta_volume_1,0.0181282646954
delta_skewness_2,0.0178014468402
delta_std_2,0.0174212846905
part_00_density_Z_7_0,0.0173227004707
part_00_shape_Z_4_0,0.0166049152613
part_00_density_I5_norm,0.0158999618143
part_00_shape_Z_3_1,0.0150288967416
part_00_density_Z_3_0,0.0149532696232
part_00_density_I4_norm,0.0148796681315
part_00_density_E2_E1,0.01484320499
part_00_shape_E2_E1,0.014831725508
part_00_density_CI,0.0147817581892
part_00_shape_CI,0.0147810829803
part_00_density_Z_5_0,0.0147635266185
part_00_density_O3_norm,0.0146912755445
skewness_over_volume_00,0.0146838473156
electrons_over_resolution_00,0.0145643297583
part_00_density_sqrt_E3,0.0144576411694
part_00_density_O4_norm,0.014454940334
delta_mean_1,0.0142955826595
delta_mean_2,0.014158507809
part_00_shape_sqrt_E3,0.0140889575705
delta_shape_segments_count_2,0.0139350024983
percent_cut,0.0135501138866
part_00_density_I2_norm,0.0134299201891
volume_over_resolution_00,0.01312403474
part_00_density_sqrt_E1,0.0128613654524
part_00_shape_FL,0.012752651237
part_00_density_I6,0.0125683089718
part_00_shape_sqrt_E1,0.0123826172203
delta_volume_2,0.0121800443158
std_over_volume_01,0.0113731278107
part_00_shape_Z_2_0,0.0109355701134
local_electrons,0.010599299334
part_00_shape_Z_4_2,0.0105344755575
part_00_electrons,0.00950472895056
part_00_volume,0.00917858630419
part_00_shape_Z_2_1,0.00840745866299
local_cut_by_mainchain_volume,0.0079631479457
