attribute,importance
delta_electrons_1,0.0401958454905
local_near_cut_count_C,0.0276057459282
delta_electrons_2,0.0272248101921
local_near_cut_count_N,0.0270991306825
delta_volume_1,0.0253441416491
part_00_shape_sqrt_E1,0.0246129182742
local_near_cut_count_O,0.0219096121573
delta_skewness_1,0.0210682033706
part_00_density_sqrt_E1,0.021034718659
std_over_resolution_00,0.0195957027519
part_00_density_E3_E2,0.0194762255248
part_00_density_sqrt_E2,0.019208463607
percent_cut,0.0191710907346
part_00_density_E2_E1,0.0188972589655
delta_std_1,0.0183996434455
part_00_shape_E2_E1,0.0183776488688
part_00_density_E3_E1,0.0182997282206
delta_density_sqrt_E1_1,0.0182324569373
volume_over_resolution_00,0.0181207245492
part_00_density_Z_6_0,0.0174706722759
delta_skewness_2,0.0170430747369
part_00_density_sqrt_E3,0.0168862678014
part_00_density_O3_norm,0.0167442638381
part_00_density_Z_7_0,0.016633912499
delta_density_sqrt_E3_1,0.0164680788055
delta_std_2,0.0163546532678
part_00_density_I4_norm,0.0160861254732
part_00_shape_sqrt_E3,0.0160212438715
delta_density_sqrt_E2_1,0.0158157544264
resolution,0.0157062860084
local_mean,0.0156588385163
part_00_shape_O5_norm,0.015593307277
part_00_density_CI,0.0155817703672
local_electrons,0.0155383114836
part_00_density_Z_5_0,0.0154798813807
part_00_shape_CI,0.0154102637188
shape_segments_count_over_volume_00,0.0151060290215
part_00_density_O4_norm,0.0150092840399
part_00_density_Z_3_0,0.0145943809144
part_00_shape_Z_1_0,0.014399968868
part_00_electrons,0.0142088172374
part_00_shape_Z_4_0,0.0141046518566
part_00_density_I5_norm,0.0140210864618
part_00_shape_Z_3_1,0.0137359828339
local_cut_by_mainchain_volume,0.0135684599557
skewness_over_volume_00,0.0133614221344
delta_volume_2,0.0129590663149
part_00_mean,0.0123820575506
electrons_over_resolution_00,0.012308283888
part_00_shape_Z_2_1,0.0121434237294
delta_shape_segments_count_2,0.0120778444915
part_00_density_I2_norm,0.0119914537871
part_00_shape_Z_4_2,0.0119269279689
part_00_density_I6,0.0117733320651
delta_mean_2,0.0115544639417
part_00_volume,0.0110817629028
delta_mean_1,0.0106861630397
part_00_shape_Z_2_0,0.0105527963877
std_over_volume_01,0.0101617109212
part_00_shape_FL,0.00792385393165
